Time,Open,High,Low,Close,Volume
1971.01.03 00:00,4.31800,4.31800,4.31030,4.31090,5
1971.01.10 00:00,4.31020,4.31020,4.30760,4.30760,5
1971.01.17 00:00,4.30290,4.30290,4.29960,4.29960,5
1971.01.24 00:00,4.30050,4.30050,4.29630,4.29630,5
1971.01.31 00:00,4.29680,4.29690,4.29650,4.29690,5
1971.02.07 00:00,4.29790,4.29790,4.29670,4.29670,4
1971.02.14 00:00,4.29680,4.29680,4.29630,4.29630,4
1971.02.21 00:00,4.29580,4.30730,4.29570,4.30700,5
1971.02.28 00:00,4.30730,4.30730,4.30390,4.30660,5
1971.03.07 00:00,4.30200,4.30400,4.30100,4.30100,5
1971.03.14 00:00,4.30040,4.30040,4.29720,4.29720,5
1971.03.21 00:00,4.29710,4.29720,4.29590,4.29590,5
1971.03.28 00:00,4.29660,4.29660,4.29470,4.29470,5
1971.04.04 00:00,4.29710,4.29740,4.29370,4.29510,5
1971.04.11 00:00,4.29690,4.30240,4.29690,4.30190,5
1971.04.18 00:00,4.30520,4.30520,4.29950,4.30250,5
1971.04.25 00:00,4.30080,4.30080,4.29570,4.29590,5
1971.05.02 00:00,4.29550,4.29550,4.13740,4.13740,5
1971.05.09 00:00,4.10760,4.11640,4.09500,4.09500,5
1971.05.16 00:00,4.09140,4.09140,4.07330,4.07330,5
1971.05.23 00:00,4.07710,4.10580,4.07710,4.10580,5
1971.05.30 00:00,4.10590,4.10590,4.08980,4.09400,4
1971.06.06 00:00,4.08790,4.09090,4.08510,4.08850,5
1971.06.13 00:00,4.09010,4.09480,4.09010,4.09310,5
1971.06.20 00:00,4.09290,4.09610,4.09290,4.09440,5
1971.06.27 00:00,4.09810,4.10170,4.09660,4.09890,5
1971.07.04 00:00,4.10370,4.10610,4.10370,4.10610,4
1971.07.11 00:00,4.10600,4.10600,4.09340,4.09340,5
1971.07.18 00:00,4.09150,4.09150,4.08660,4.08660,5
1971.07.25 00:00,4.08620,4.08710,4.08540,4.08620,5
1971.08.01 00:00,4.08780,4.08870,4.06070,4.06990,5
1971.08.08 00:00,4.05320,4.06330,4.05270,4.06330,5
1971.08.22 00:00,3.99320,3.99320,3.96510,3.97320,5
1971.08.29 00:00,3.98780,4.00240,3.97900,3.97900,5
1971.09.05 00:00,3.99990,3.99990,3.99330,3.99330,4
1971.09.12 00:00,3.99840,3.99840,3.98530,3.98640,5
1971.09.19 00:00,3.97140,3.97510,3.95630,3.96980,5
1971.09.26 00:00,3.96890,3.96890,3.95410,3.95880,5
1971.10.03 00:00,3.95990,3.96590,3.95960,3.96590,5
1971.10.10 00:00,3.96990,3.98330,3.96990,3.98330,4
1971.10.17 00:00,3.97270,3.97990,3.97270,3.97990,5
1971.10.24 00:00,3.99140,3.99480,3.98800,3.99270,4
1971.10.31 00:00,3.99600,3.99600,3.99110,3.99110,4
1971.11.07 00:00,3.99460,3.99600,3.99430,3.99430,5
1971.11.14 00:00,3.99440,3.99650,3.98390,3.98390,5
1971.11.21 00:00,3.97610,3.97610,3.95260,3.95550,4
1971.11.28 00:00,3.95390,3.95550,3.91700,3.91700,5
1971.12.05 00:00,3.89480,3.90000,3.89480,3.89980,5
1971.12.12 00:00,3.90270,3.90270,3.87540,3.87540,5
1971.12.19 00:00,3.88420,3.90920,3.88420,3.90920,4
1971.12.26 00:00,3.91930,3.92120,3.91470,3.91470,5
1972.01.02 00:00,3.91770,3.92160,3.91770,3.92080,5
1972.01.09 00:00,3.91980,3.92160,3.88350,3.88350,5
1972.01.16 00:00,3.86550,3.87780,3.86550,3.87780,5
1972.01.23 00:00,3.87280,3.87300,3.86550,3.87300,5
1972.01.30 00:00,3.87450,3.87450,3.84620,3.87450,5
1972.02.06 00:00,3.87300,3.87300,3.85800,3.85800,5
1972.02.13 00:00,3.86100,3.86400,3.84470,3.84910,5
1972.02.20 00:00,3.85950,3.86920,3.85650,3.86920,4
1972.02.27 00:00,3.87520,3.87520,3.86850,3.87150,5
1972.03.05 00:00,3.86100,3.86100,3.81750,3.81750,5
1972.03.12 00:00,3.98170,3.98170,3.83580,3.85800,5
1972.03.19 00:00,3.86250,3.87000,3.85130,3.87000,5
1972.03.26 00:00,3.85910,3.85910,3.83580,3.83580,5
1972.04.02 00:00,3.83730,3.85210,3.83730,3.85210,5
1972.04.09 00:00,3.70920,3.85580,3.70920,3.85580,5
1972.04.16 00:00,3.85880,3.87900,3.85880,3.87000,5
1972.04.23 00:00,3.86320,3.86470,3.86250,3.86470,5
1972.04.30 00:00,3.86400,3.86400,3.86170,3.86320,5
1972.05.07 00:00,3.86320,3.86320,3.85510,3.86250,5
1972.05.14 00:00,3.86700,3.87070,3.86510,3.86510,5
1972.05.21 00:00,3.86550,3.86550,3.85620,3.85620,5
1972.05.28 00:00,3.84620,3.84620,3.83510,3.83730,4
1972.06.04 00:00,3.84320,3.84320,3.83290,3.83290,5
